LOC,TIME
KC,37
KC,11
KC,32
KC,57
KC,44
KC,18
KC,10
KC,9
KC,10
KC,6
KC,9
KC,10
KC,18
KC,35
KC,16
KC,12
KC,8
KC,9
KC,12
KC,27
KC,12
KC,46
KC,6
KC,23
KC,6
KC,14
KC,43
KC,14
KC,50
KC,9
KC,44
KC,30
KC,33
KC,26
KC,31
KC,6
OK,41
OK,34
OK,24
OK,31
OK,47
OK,29
OK,25
OK,32
OK,21
OK,27
OK,24
OK,19
OK,32
OK,31
OK,46
OK,21
OK,32
OK,28
OK,26
OK,26
OK,27
OK,67
OK,27
OK,29
OK,33
OK,27
OK,24
OK,24
OK,19
OK,27
OK,20
OK,29
OK,31
OK,24
OK,20
OK,31
